"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
"، وقامت جهة العمل بطرح قرض سيارة لمن	يرغب	، ويريد زوجي اخذ هذا القرض وشراء سيارة ، واريد ان اعرف",,,
"يقرضه 10 آلاف دينار ، وبما انه في	حاجة	للمبلغ وعده بزيادة الف دينار تشجيعا له على اقراضه المبلغ ، وهذا",,,
"لي ان اعرف احدا لان زوجي يمنعني وكنت	اتمنى	الصحبة الطيبة من اجل ان نقوي بعضا بالايمان ، انا اصابني مرض",,,
"خير اذا كان يعمل بهذا القطاع قررت ان	شاء	الله التوبة من هذا العمل ، اما ما يخص زوجي فهو يدعو",,,
"مخرجا ، اما عن سؤالي فانني قررت ان	شاء	توبتي او ان استمراري في عملي لمدة هذه السنة لا تقبل توبتي",,,
"، ولكني لم اكن متاكدة من ذلك حتى	شاء	الله ان ناخذ بيتا قريبا لم اكن متاكدة من ذلك حتى شاء",,,
"بيتا قريبا لم اكن متاكدة من ذلك حتى	شاء	الله ان ناخذ بيتا قريبا من بيت والدة زوجي ومنذ ذلك الوقت",,,
"ومشاكل مع زوجي ، والسبب تضارب رغباتي مع	رغبات	ناخذ بيتا قريبا من بيت والدة زوجي ومنذ ذلك الوقت وانا في",,,
"ومشاكل مع زوجي ، والسبب تضارب رغباتي مع	رغبات	والدته وحرصه على تلبية رغبات والدته على حساب مشاعري وحتى الاشياء التي",,,
"تضارب رغباتي مع رغبات والدته وحرصه على تلبية	رغبات	والدته على حساب مشاعري وحتى الاشياء التي تتعلق بحرية الراي للزوجة0 ان",,,
"رواندا وسنذهب الى الاجازة مع موسم الحج ان	شاء	الله ونريد ان نستغل. وجزاكم الله خيرًا. انا امراة مخطوبة",,,
"فترة الحيض ، فهل يقع الطلاق ؟ واذا	اراد	زوجي ارجاعي ، فماذا يفعل ؟ مع العلم انه لا يوجد شهود",,,
"انتظر حتى يبلغ ام استطيع السفر ؟ 2-	طلب	زوجي ان ازيل ما بين الحاجبين ولكني ازلت قليلا من الشعر الطائش",,,
"زوجي الذى لم يقبل ان يغضبها ونحن فى	حاجة	لحقنا فى هذا المال فما التصرف الشرعي طلاقها او اعتبر ان الطلاق",,,
"مقر عملي ، المشكلة في زوجي الذي لا	يرغب	في المجيء ويختلق الاعذار لي بانه لن يكون متفرغاً لي في هذين",,,
"منه المبيت معي كونه متزوجا حديثا مع انني	اشتاق	له الزواج وانا اعرف انه متزوج من غيري ؟ وايضاً اريد ان",,,
"في شيء ؛ علما ان صحتها جيدة ما	شاء	الله ، وحتى زوجي لا يحب ان يدخل احد غرفة نومنا ،",,,
"وسوف افصل الموضوع لكي تتضح الرؤية. زوجي	طلب	مني ان اداعبه نهار رمضان ، وانا رفضت ، ثم اقنعني انه",,,
"ادري بانه يبطل الصوم ؟ اثناء قضائي للصيام	طلب	مني زوجي الجماع ، فرفضت واتممت صومي ، فاحسست بالشهوة ، وبرطوبة",,,
"لا يصح الافطار فيه بغير عذر فماذا لو	طلب	مني زوجي الافطار بعد ان نويت الصيام فعلا فهل يصح ان افطر",,,
"زميل لى باخذ سيارة ربع نقل جديدة لقضاء	حاجة	خاصة به على ان شيء. اخرجنا الجنين الميت و كان الجو",,,
"زوجي ان يجلب لي عريسا تكون نيته زواج	رغبة	، وفعلا اتى لي بعريس وكانت نية: هل يحق لي ان",,,
"باللغة العامية (الصبحة) وبعد زواجي بفترة	اراد	واراد اهلي ان يقدمو للعروسة طقماً ولم يكن لديهم القدرة المالية الكافية",,,
"وهو انهما سيفتتحان مطعما شراكة بينهما ، لكنهما	حاجة	ماسة للمساعدة ، فهم يردون فقط المجاملات ، فهل عليهم اثم وخاصة",,,
"وخصوصاً الحدائق او على 60 سنة ، وما	شاء	الله يستطيع ان يذهب ويجيء على الاقل ما يتعب مثل زوجي ،",,,
"او خايف لا يخسرهم ، والله انا وما	شاء	الله يستطيع ان يذهب ويجيء على الاقل ما يتعب مثل زوجي ،",,,
"والخيانة ؟ انا متزوجة ومشكلتي انني اخجل من	طلب	المال من زوجي وهو لا يعطيني شيئا وينتهي بي دائما المطاف الى",,,
". ولكن ما حصل بعدها ان زوجي قدم	طلب	هجرة لاهله ، ومرة اخرى دون مشاورتي ، وجاء اهله وجلسوا معنا",,,
"منزلي. حماتي احتلت المطبخ ، بمعنى انها	تريد	ان تطبخ دائما يتعكر مزاجها ، فلا تريد ان تعترف اني اجيد",,,
"تريد ان تطبخ دائما يتعكر مزاجها ، فلا	تريد	ان تعترف اني اجيد الطبخ. اذا وجدتني جالسة جنب زوجي تغار",,,
"؟ انا امراة متزوجة ، واحيانا تكون لي	رغبة	في زوجي ، فاما ان اكلمه فيرفض ، واما انني لا استطيع",,,
"مندوب مبيعات ، ولديه سيارة كذلك ، لكنها	تريد	زوجي فقط ، وقد تعبت ، وانا كتبت هذا السؤال ؛ حتى",,,
"قمت ببناء بيت على ارض والد زوجي حسب	رغبة	والده. وبنيت البيت من ذهبي الذي اهداني اياه والدي ، وجزء",,,
"وبعض المشاهد الاباحية ، او والدهم ، ولا	ارغب	في طلاق الثانية. رفعت دعوى طلاق للضرر من زوجي لزواجه من",,,
"، وعندما لا اريد فالقانون العراقي اجاز للمراة	طلب	التفريق في حالات معينة ، وانا اودّ طلب التفريق عن زوجي ؛",,,
"طلب التفريق في حالات معينة ، وانا اودّ	طلب	التفريق عن زوجي ؛ كونه يضربني ، ولا ينفق عليَّ ، ويعاملني",,,
"قبل ان يتزوجني ولقد تركته ورجعت انها لا	تريد	مفارقة اهلها ، وانها تريد من بناتها الدراسة في تونس. المهم",,,
"ورجعت انها لا تريد مفارقة اهلها ، وانها	تريد	من بناتها الدراسة في تونس. المهم زوجي الآن قرر العودة الى",,,
"هذه الناحية. ومشكلتي تتلخص في ان زوجي	يشتهي	تلك المعاملة امام عائلته ، واخوانه ، ومن يعلم عندما اعامله بتلك",,,
"النصح سيدي والفتوى جزاك الله الف خير ان	شاء	برامج الكفالة فقط لان آباءهم على قيد الحياة على الرغم من انهم",,,
"ولا يتقبل مناقشتي و انا في الواقع امراة	تريد	العيش بكرامتها و لو في فقر... كذلك احب زوجي و فيه",,,
"الاختلاط ، على الرغم من ان زوجي في	حاجة	لمساهمتي بطبيعة دخله المحدود ، فالمنزل لم يكتمل بعد ولا يملك سيارة",,,
"رجل له زوجة ، وانا الثانية وبعد مدة	طلب	مني زوجي زيارة اهلي والبقاء عندهم ثم جاء وقال لوالدي لقد تسرعت",,,
"ماذا افعل والدي يطلب مني الصبر ، وامي	تريد	مني ان اشتكي زوجي وانا في حيرة ، ما افضل واحسن واصلح",,,
"زوجي يود التسمية باسم: سلسبيل ـ ان	اراد	الله الامر ، فهل التسمية بهذا الاسم الركعة الاخيرة فهل اقطع صلاتي",,,
"، وانا ربة قبل الزواج ، واصبحت لا	ارغب	بك. واصبحت علاقتنا الزوجية باردة جدا",,,
"زوجي يجامعني لاشباع رغبتي فقط",,,
"لخطبتي اخبرنا ان سبب زواجه ان زوجته لا	تريد	العيش معه ، وانا اعيش مع لخطبتي اخبرنا ان سبب زواجه ان",,,
"لخطبتي اخبرنا ان سبب زواجه ان زوجته لا	تريد	العيش معه ، وانا اعيش مع زوجي ببلد عربي بسبب عمل زوجي",,,
"اولادها في بيت اهلها ؛ ان زوجته لا	تريد	العيش معه ، وانا اعيش مع زوجي ببلد عربي بسبب عمل زوجي", واصبح زوجي يجامعني لاشباع,,
"بطلب منها ورغبة منها ، ، واخبرته انها	تريد	العيش عند اهلها ، وانها تريد تعليمًا افضل لابنائها ، وهددها زوجي"," وليس له	رغبة	في معاشرتي"," ولا يستطيع القذف نهائيا منذ سنتين وعندي طفل ،",
"واخبرته انها تريد العيش عند اهلها ، وانها	تريد	تعليمًا افضل لابنائها ، وهددها زوجي بانه سوف يتزوج ، لكنها لم",,,
"، وبعد ان تزوجني وعلمت ضرتي بالخبر ،	تريد	العدل بالسكن ، حيث ان زوجي بسبب العمل يذهب كل سنتين اجازة",,,
"رفض مرافقتي لاسباب مادية كذلك يصعب علي رفض	طلب	مديري من السفر للتدريب خوفا ان جزيل الشكر. السلام عليكم ورحمة",,,
"حبا جما واريده زوجا لي ما حييت ان	شاء	الله. نسيت ان اخبركم بانه بان ياخذ الله منه اسباب السعادة",,,
"، وبعد ان تبت الى تفصيلاته واختلافاته كما	اتمنى	ان تذكروا لي اهم المراجع. وجزاكم الله خيرا قال لي زوجي",,,
"كان حلال ان آخذ هذا المبلغ فما حكم	طلب	بنت زوجي ان تاخذ جزءا من المال على قدر حصتها في الميراث",,,
